State,City,count
FL,Miami,163773
CA,Los Angeles,110272
TX,Houston,98324
NC,Charlotte,92184
FL,Orlando,89083
TX,Dallas,87031
NC,Raleigh,59286
TN,Nashville,54933
TX,Austin,54595
LA,Baton Rouge,52666
CA,Sacramento,49147
CA,San Diego,40661
AZ,Phoenix,40571
GA,Atlanta,40251
MN,Minneapolis,38084
VA,Richmond,32423
AZ,Tucson,32230
FL,Jacksonville,30210
MN,Saint Paul,27829
OK,Oklahoma City,27781
SC,Greenville,27685
OR,Portland,26535
LA,New Orleans,25730
SC,Columbia,25464
FL,Tampa,22560
CA,San Jose,22486
TX,San Antonio,22298
IL,Chicago,21013
CO,Denver,20765
NY,Bronx,20568
OK,Tulsa,20078
CA,Bakersfield,19435
CA,Riverside,19307
IN,Indianapolis,19264
FL,Fort Lauderdale,19150
MO,Kansas City,18597
NY,Rochester,18140
WA,Seattle,17835
FL,Hialeah,17728
CA,San Bernardino,17035
NY,New York,16736
UT,Salt Lake City,16371
DC,Washington,16263
NY,Brooklyn,15927
CA,Oakland,15731
CA,Anaheim,15653
PA,Philadelphia,15582
CA,Fresno,15199
TN,Chattanooga,14778
FL,Fort Myers,14626
CA,Ontario,14472
MI,Grand Rapids,14277
CA,Long Beach,14141
MI,Detroit,14139
CA,Corona,13723
FL,Sarasota,13464
OH,Dayton,13426
LA,Shreveport,13287
FL,Bradenton,13113
TX,Fort Worth,12984
FL,Kissimmee,12920
AL,Birmingham,12741
SC,Spartanburg,12286
CA,San Francisco,12170
TN,Memphis,12083
CA,Whittier,11933
FL,Pensacola,11752
OH,Columbus,11185
MO,Saint Louis,10233
TX,El Paso,10116
MI,Flint,10098
PA,Pittsburgh,9914
VA,Norfolk,9913
OH,Cincinnati,9907
KY,Louisville,9761
FL,Saint Petersburg,9512
CA,Stockton,8960
AL,Montgomery,8957
CA,Hayward,8802
WI,Milwaukee,8693
SC,Anderson,8368
VA,Henrico,8327
PA,Lancaster,8292
FL,Ocala,8264
FL,North Miami,8132
FL,Hollywood,7701
SC,Myrtle Beach,7541
OH,Cleveland,7439
CA,Tracy,7405
CA,Fontana,7270
AL,Huntsville,7247
CA,Irvine,7240
PA,York,7219
NY,Buffalo,7184
CA,Modesto,7181
