State,count
CA,1291335
FL,716645
TX,363369
SC,294851
NY,252827
VA,249022
NC,241682
PA,226253
MN,158856
OR,149939
AZ,132804
TN,130209
LA,116189
MD,109515
GA,109282
NJ,103666
IL,102481
MI,93745
AL,83905
UT,80272
OH,75469
CO,68307
WA,61425
MO,57394
CT,53632
OK,52831
IN,44946
MA,38323
MT,28149
WI,23976
AR,22022
KY,19952
IA,18803
DC,16458
KS,16087
NV,15141
WV,11993
DE,11281
MS,11203
NE,11006
ID,10170
RI,9438
NM,6920
NH,5351
ND,3461
WY,3378
ME,1269
VT,566
SD,256
